
2024/10/19 (14:07:52) | ===> btop++ v.1.4.0
2024/10/19 (14:07:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (14:30:58) | ===> btop++ v.1.4.0
2024/10/19 (14:30:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (14:31:10) | ===> btop++ v.1.4.0
2024/10/19 (14:31:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (14:34:03) | ===> btop++ v.1.4.0
2024/10/19 (14:34:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (14:34:03) | ===> btop++ v.1.4.0
2024/10/19 (14:34:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (14:34:03) | ===> btop++ v.1.4.0
2024/10/19 (14:34:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (14:34:04) | ===> btop++ v.1.4.0
2024/10/19 (14:34:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (14:34:07) | ===> btop++ v.1.4.0
2024/10/19 (14:34:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (14:34:07) | ===> btop++ v.1.4.0
2024/10/19 (14:34:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (14:34:07) | ===> btop++ v.1.4.0
2024/10/19 (14:34:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (14:34:07) | ===> btop++ v.1.4.0
2024/10/19 (14:34:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (14:35:27) | ===> btop++ v.1.4.0
2024/10/19 (14:35:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (14:36:52) | ===> btop++ v.1.4.0
2024/10/19 (14:36:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (15:45:39) | ===> btop++ v.1.4.0
2024/10/19 (15:45:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (22:46:04) | ===> btop++ v.1.4.0
2024/10/19 (22:46:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (22:49:32) | ===> btop++ v.1.4.0
2024/10/19 (22:49:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (22:49:32) | ===> btop++ v.1.4.0
2024/10/19 (22:49:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (16:31:55) | ===> btop++ v.1.4.0
2024/10/21 (16:31:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (16:31:55) | ===> btop++ v.1.4.0
2024/10/21 (16:31:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (16:32:06) | ===> btop++ v.1.4.0
2024/10/21 (16:32:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (20:02:33) | ===> btop++ v.1.4.0
2024/10/23 (20:02:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (20:44:58) | ===> btop++ v.1.4.0
2024/10/23 (20:44:58) | WARNING: Intel GPU: Failed to initialize PMU
2024/10/23 (20:46:25) | INFO: Logger set to INFO

2024/10/23 (21:02:07) | ===> btop++ v.1.4.0
